job_title,experience_level,salary_in_usd,employee_residence,employment_type
Research Scientist,SE,123800,US,FT
Data Visualization Specialist,MI,94763,US,FT
Data Visualization Specialist,MI,67750,US,FT
Machine Learning Engineer,SE,251250,US,FT
Machine Learning Engineer,SE,120750,US,FT
Data Analyst,MI,33333,LT,FT
Data Analyst,MI,28666,LT,FT
Data Scientist,SE,189615,US,FT
Data Scientist,SE,150385,US,FT
Data Science,SE,283800,US,FT
Data Science,SE,234700,US,FT
Data Scientist,MI,109000,US,FT
Data Scientist,MI,93000,US,FT
Data Scientist,MI,164000,US,FT
Data Scientist,MI,131000,US,FT
Data Specialist,MI,57008,GB,FT
Data Specialist,MI,38651,GB,FT
Data Analyst,MI,68750,GB,FT
Data Analyst,MI,56250,GB,FT
Business Intelligence Lead,SE,144300,US,FT
Business Intelligence Lead,SE,104800,US,FT
Data Engineer,SE,212750,US,FT
Data Engineer,SE,157250,US,FT
Data Analyst,EN,150000,US,FT
Data Analyst,EN,129200,US,FT
Machine Learning Engineer,SE,265000,US,FT
Machine Learning Engineer,SE,170000,US,FT
Data Scientist,SE,190000,US,FT
Data Scientist,SE,155000,US,FT
Data Engineer,SE,165000,US,FT
Data Engineer,SE,100000,US,FT
Data Engineer,MI,213900,US,FT
Data Engineer,MI,126500,US,FT
Research Analyst,SE,130000,US,FT
Research Analyst,SE,104000,US,FT
Machine Learning Engineer,SE,225000,US,FT
Machine Learning Engineer,SE,66000,US,FT
ML Engineer,SE,220000,US,FT
Business Intelligence Analyst,MI,110000,US,FT
Business Intelligence Analyst,MI,85000,US,FT
Machine Learning Engineer,SE,282000,US,FT
Machine Learning Engineer,SE,188000,US,FT
Data Science,EX,219650,US,FT
Data Science,EX,136000,US,FT
Data Science,SE,210850,US,FT
Data Science,SE,145400,US,FT
Data Analyst,MI,143800,US,FT
Data Analyst,MI,106300,US,FT
AI Engineer,MI,150000,US,FT
AI Engineer,MI,90200,US,FT
Data Engineer,MI,140000,US,FT
Data Engineer,MI,110000,US,FT
Data Analyst,SE,140000,US,FT
Data Analyst,SE,120000,US,FT
AI Software Engineer,EN,117647,DK,PT
Research Scientist,MI,138000,US,PT
Research Scientist,MI,86000,US,PT
Data Scientist,MI,199700,US,FT
Data Scientist,MI,70800,US,FT
Research Analyst,SE,175000,US,FT
Research Analyst,SE,130000,US,FT
Data Architect,SE,169847,US,FT
Data Architect,SE,131631,US,FT
Machine Learning Scientist,SE,277000,US,FT
Machine Learning Scientist,SE,173000,US,FT
Machine Learning Engineer,SE,264500,US,FT
Machine Learning Engineer,SE,165600,US,FT
Business Intelligence,SE,194000,US,FT
Business Intelligence,SE,168000,US,FT
Data Engineer,MI,90000,US,FT
Data Engineer,MI,70000,US,FT
Data Scientist,EN,137000,US,FT
Data Scientist,EN,60400,US,FT
Data Science,EX,197689,US,FT
Data Science,EX,152311,US,FT
Research Analyst,EX,209500,US,FT
Research Analyst,EX,147500,US,FT
Data Engineer,SE,170000,US,FT
Data Engineer,SE,146000,US,FT
Machine Learning Engineer,SE,220600,US,FT
Machine Learning Engineer,SE,140100,US,FT
AI Engineer,SE,236872,US,FT
AI Engineer,SE,148045,US,FT
Data Science Engineer,MI,143896,US,FT
Data Science Engineer,MI,99208,US,FT
Applied Scientist,SE,250000,US,FT
Applied Scientist,SE,160000,US,FT
ML Engineer,SE,200000,US,FT
ML Engineer,SE,25000,US,FT
Data Engineer,SE,137500,US,FT
Data Engineer,SE,81500,US,FT
Data Science,EX,209700,US,FT
Data Science,EX,161300,US,FT
Data Scientist,SE,249000,US,FT
Data Scientist,SE,216000,US,FT
Data Engineer,SE,170040,US,FT
Data Engineer,SE,113360,US,FT
Machine Learning Operations Engineer,MI,178250,US,FT
Machine Learning Operations Engineer,MI,110500,US,FT
Data Analyst,EN,83300,US,FT
Data Analyst,EN,47500,US,FT
Data Scientist,SE,200000,US,FT
Data Scientist,SE,148500,US,FT
Data Architect,SE,138000,US,FT
Data Architect,SE,120000,US,FT
Research Scientist,SE,250000,US,FT
Research Scientist,SE,200000,US,FT
Data Engineer,SE,110000,US,FT
Data Engineer,SE,90000,US,FT
Data Engineer,MI,142000,US,FT
Data Engineer,MI,129500,US,FT
Data Product Manager,MI,210554,US,FT
Data Product Manager,MI,131596,US,FT
Data Engineer,SE,170000,US,FT
Data Engineer,SE,130000,US,FT
Data Engineer,SE,159550,US,FT
Data Engineer,SE,113000,US,FT
Data Engineer,MI,135000,US,FT
Data Engineer,MI,100000,US,FT
Machine Learning Engineer,MI,245400,US,FT
Machine Learning Engineer,MI,139000,US,FT
Data Engineer,SE,190000,US,FT
Data Engineer,SE,167000,US,FT
Machine Learning Engineer,SE,304000,US,FT
Machine Learning Engineer,SE,244000,US,FT
Data Analyst,EN,62500,US,FT
Data Analyst,EN,55000,US,FT
Data Scientist,SE,247600,US,FT
Data Scientist,SE,127300,US,FT
Data Science,SE,210000,US,FT
Data Science,SE,170000,US,FT
Applied Scientist,MI,222200,US,FT
Applied Scientist,MI,136000,US,FT
Research Analyst,MI,200000,US,FT
Research Analyst,MI,151300,US,FT
Data Scientist,MI,110000,US,FT
Data Scientist,MI,90000,US,FT
Data Analyst,EN,156000,US,FT
Data Analyst,EN,94000,US,FT
Research Scientist,MI,212800,US,FT
Research Scientist,MI,124100,US,FT
Analytics Engineer,MI,195000,US,FT
Analytics Engineer,MI,140000,US,FT
Data Management Analyst,SE,199068,US,FT
Data Management Analyst,SE,150000,US,FT
Data Science,EX,250900,US,FT
Data Science,EX,173100,US,FT
Data Analyst,MI,95000,US,FT
Data Analyst,MI,80000,US,FT
Data Scientist,EN,66666,FR,FT
Data Scientist,EN,44444,FR,FT
Data Engineer,SE,138000,US,FT
Data Engineer,SE,86000,US,FT
AI Engineer,SE,186754,US,FT
AI Engineer,SE,101000,US,FT
Data Scientist,SE,234000,US,FT
Data Scientist,SE,146000,US,FT
Research Scientist,MI,96200,US,FT
Research Scientist,MI,69800,US,FT
Encounter Data Management Professional,SE,96200,US,FT
Encounter Data Management Professional,SE,69800,US,FT
Business Intelligence,SE,170000,US,FT
Business Intelligence,SE,150000,US,FT
Data Engineer,MI,157500,US,FT
Data Engineer,MI,149900,US,FT
Data Analyst,SE,169000,US,FT
Data Analyst,SE,105000,US,FT
Data Engineer,SE,148017,US,FT
Data Engineer,SE,87069,US,FT
Data Specialist,MI,106336,CA,FT
Data Specialist,MI,83150,CA,FT
Data Analytics Specialist,MI,130000,US,FT
Data Analytics Specialist,MI,91000,US,FT
Data Analyst,SE,149925,US,FT
Data Analyst,SE,91260,US,FT
ML Engineer,SE,185000,US,FT
ML Engineer,SE,25000,US,FT
Data Scientist,SE,155000,US,FT
Data Scientist,SE,120000,US,FT
ML Engineer,SE,209700,US,FT
ML Engineer,SE,144600,US,FT
Data Architect,SE,175000,US,FT
Data Architect,SE,117000,US,FT
Data Analyst,MI,77280,US,FT
Data Analyst,MI,58000,US,FT
Data Engineer,SE,170200,US,FT
Data Engineer,SE,125800,US,FT
Data Architect,SE,202730,US,FT
Data Architect,SE,92118,US,FT
Data Analyst,MI,125000,US,FT
Data Analyst,MI,100000,US,FT
Applied Scientist,SE,200000,US,FT
Applied Scientist,SE,160000,US,FT
Data Scientist,MI,157144,US,FT
Data Scientist,MI,93101,US,FT
Data Scientist,SE,160769,CA,FT
Data Scientist,SE,115384,CA,FT
Applied Scientist,SE,260000,US,FT
Applied Scientist,SE,136000,US,FT
Machine Learning Engineer,SE,189000,US,FT
Machine Learning Engineer,SE,145400,US,FT
Data Architect,SE,200070,CA,FT
Data Architect,SE,107730,CA,FT
Data Engineer,SE,154000,US,FT
Data Engineer,SE,103000,US,FT
Head of Data,EX,223000,US,FT
Head of Data,EX,205000,US,FT
Data Analyst,SE,209000,US,FT
Data Analyst,SE,120000,US,FT
Machine Learning Engineer,MI,200000,CA,FT
Machine Learning Engineer,MI,160000,CA,FT
Data Scientist,MI,110000,US,FT
Data Scientist,MI,90000,US,FT
Data Scientist,SE,252000,US,FT
Data Scientist,SE,168000,US,FT
Applied Scientist,MI,222200,US,FT
Applied Scientist,MI,136000,US,FT
Data Analytics Lead,SE,250000,US,FT
Data Scientist,SE,385000,US,FT
Data Scientist,SE,130000,US,FT
Data Scientist,MI,150000,US,FT
Data Scientist,MI,127500,US,FT
Business Intelligence Analyst,EN,142136,US,FT
Business Intelligence Analyst,EN,123596,US,FT
Data Scientist,MI,285200,US,FT
Data Scientist,MI,168600,US,FT
Data Scientist,SE,223500,US,FT
Data Scientist,SE,109100,US,FT
Data Analyst,EN,64500,US,FT
Data Analyst,EN,46500,US,FT
Data Engineer,SE,180500,US,FT
Data Engineer,SE,96200,US,FT
Data Analyst,MI,86940,US,FT
Data Analyst,MI,66000,US,FT
Data Analyst,MI,77280,US,FT
Data Analyst,MI,58000,US,FT
Data Specialist,SE,51772,GB,FT
Data Specialist,SE,47778,GB,FT
Data Manager,SE,166000,US,FT
Data Manager,SE,104000,US,FT
Data Analyst,EN,97000,US,FT
Data Analyst,EN,62000,US,FT
Machine Learning Scientist,MI,176000,US,FT
Machine Learning Scientist,MI,72700,US,FT
Data Science,MI,42457,ZA,FT
Data Science,MI,39245,ZA,FT
Research Scientist,EN,170500,US,FT
Research Scientist,EN,123200,US,FT
Machine Learning Engineer,SE,296400,US,FT
Machine Learning Engineer,SE,159600,US,FT
Applied Scientist,SE,158200,US,FT
Applied Scientist,SE,79000,US,FT
Data Scientist,SE,153000,NZ,FT
Data Scientist,SE,135000,NZ,FT
Data Scientist,MI,145000,US,FT
Data Scientist,MI,125000,US,FT
Head of Data,EX,230000,US,FT
Head of Data,EX,200000,US,FT
Machine Learning Engineer,SE,278000,US,FT
Machine Learning Engineer,SE,196000,US,FT
Data Engineer,SE,140000,US,FT
Data Engineer,SE,100000,US,FT
Data Scientist,MI,45000,AR,FT
Data Scientist,MI,30000,AR,FT
Data Scientist,SE,218000,US,FT
Data Scientist,SE,145000,US,FT
Data Analyst,SE,100000,US,FT
Data Analyst,SE,86220,US,FT
Data Engineer,MI,190000,US,FT
Data Engineer,MI,150000,US,FT
Business Intelligence,MI,110000,US,FT
Business Intelligence,MI,95000,US,FT
Data Science,SE,110000,US,FT
Data Science,SE,90000,US,FT
Data Engineer,MI,140000,US,FT
Data Engineer,MI,110000,US,FT
Data Analyst,MI,80000,US,FT
Data Analyst,MI,50000,US,FT
Data Analyst,SE,180000,US,FT
Data Analyst,SE,130000,US,FT
Data Engineer,SE,200000,US,FT
Data Engineer,SE,147000,US,FT
Data Analyst,SE,148000,US,FT
Data Analyst,SE,125000,US,FT
Data Scientist,SE,150000,US,FT
Data Scientist,SE,110000,US,FT
Data Analyst,SE,245400,US,FT
Data Analyst,SE,135800,US,FT
Business Intelligence,EX,200000,US,FT
Business Intelligence,EX,175000,US,FT
Applied Scientist,SE,249700,US,FT
Applied Scientist,SE,156300,US,FT
Data Architect,SE,190000,US,FT
Data Architect,SE,140000,US,FT
Machine Learning Engineer,SE,370000,US,FT
Machine Learning Engineer,SE,220000,US,FT
Data Engineer,EN,38888,ES,FT
Data Engineer,EN,30000,ES,FT
Machine Learning Engineer,SE,280000,US,FT
Machine Learning Engineer,SE,184000,US,FT
Data Analyst,MI,174000,US,FT
Data Analyst,MI,132000,US,FT
Analytics Engineer,SE,720000,US,FT
Analytics Engineer,SE,170000,US,FT
Machine Learning Engineer,SE,200000,US,FT
Machine Learning Engineer,SE,160000,US,FT
Data Scientist,SE,150000,US,FT
Data Scientist,SE,111000,US,FT
Machine Learning Engineer,SE,280000,US,FT
Machine Learning Engineer,SE,184000,US,FT
Machine Learning Engineer,SE,302900,US,FT
Machine Learning Engineer,SE,302900,US,FT
Data Engineer,MI,179500,US,FT
Data Engineer,MI,149500,US,FT
Data Architect,SE,238000,US,FT
Data Architect,SE,149000,US,FT
Data Scientist,SE,190000,US,FT
Data Scientist,SE,148000,US,FT
Data Modeler,SE,162225,US,FT
Data Modeler,SE,139050,US,FT
Data Engineer,SE,190000,US,FT
Data Engineer,SE,105301,US,FT
Data Scientist,SE,180000,US,FT
Data Scientist,SE,139000,US,FT
Data Analyst,SE,62500,GB,FT
Data Analyst,SE,55000,GB,FT
Machine Learning Engineer,SE,252000,US,FT
Machine Learning Engineer,SE,168000,US,FT
Data Engineer,MI,85000,US,FT
Data Engineer,MI,74880,US,FT
Machine Learning Engineer,SE,260000,US,FT
Machine Learning Engineer,SE,160000,US,FT
Data Engineer,SE,190000,US,FT
Data Engineer,SE,150000,US,FT
Research Engineer,MI,234000,US,FT
Research Engineer,MI,176000,US,FT
Data Engineer,MI,125000,US,FT
Data Engineer,MI,100000,US,FT
ML Engineer,SE,155000,US,FT
ML Engineer,SE,100000,US,FT
Data Analyst,SE,170000,CA,FT
Data Analyst,SE,130000,CA,FT
Data Engineer,MI,184000,US,FT
Data Engineer,MI,123000,US,FT
Data Modeler,SE,140000,US,FT
Data Modeler,SE,130000,US,FT
Data Scientist,MI,159550,US,FT
Data Scientist,MI,113000,US,FT
Data Scientist,SE,222300,FR,FT
Data Scientist,SE,119700,FR,FT
ML Engineer,SE,120000,US,FT
ML Engineer,SE,75000,US,FT
AI Scientist,SE,166000,US,FT
AI Scientist,SE,110781,US,FT
Data Scientist,MI,121500,US,FT
Data Scientist,MI,88200,US,FT
Data Science,EN,63162,US,PT
Data Science,EN,37154,US,PT
Data Scientist,SE,195800,US,FT
Data Scientist,SE,161900,US,FT
Data Analyst,SE,142166,US,FT
Data Analyst,SE,88854,US,FT
Business Intelligence Developer,EN,137000,US,FT
Business Intelligence Developer,EN,60400,US,FT
Data Architect,SE,178090,US,FT
Data Architect,SE,92118,US,FT
Head of Data,EX,257500,US,FT
Head of Data,EX,190000,US,FT
AI Engineer,MI,176000,US,FT
AI Engineer,MI,106500,US,FT
Business Intelligence,MI,125500,US,FT
Business Intelligence,MI,78000,US,FT
Data Engineer,SE,200000,US,FT
Data Engineer,SE,96000,US,FT
Business Intelligence Analyst,EN,192500,US,FT
Business Intelligence Analyst,EN,140000,US,FT
Data Engineer,SE,220000,US,FT
Data Engineer,SE,96600,US,FT
Data Engineer,SE,195500,US,FT
Data Engineer,SE,117300,US,FT
Data Engineer,SE,156000,US,FT
Data Engineer,SE,124000,US,FT
Data Architect,SE,178090,US,FT
Data Architect,SE,81978,US,FT
Data Engineer,SE,142500,US,FT
Data Engineer,SE,90000,US,FT
Data Engineer,SE,171210,CA,FT
Data Engineer,SE,92190,CA,FT
Data Architect,SE,74276,GB,FT
Data Architect,SE,60437,GB,FT
Machine Learning Developer,MI,125000,CA,FT
Machine Learning Developer,MI,90000,CA,FT
Data Scientist,MI,176000,US,FT
Data Scientist,MI,72700,US,FT
Data Engineer,MI,132600,US,FT
Data Engineer,MI,80845,US,FT
Data Engineer,EX,250000,US,FT
Data Engineer,EX,150000,US,FT
Data Management Specialist,MI,79000,US,FT
Data Management Specialist,MI,72000,US,FT
Data Scientist,SE,230800,US,FT
Data Scientist,SE,96200,US,FT
Data Scientist,EN,187415,US,FT
Data Scientist,EN,114080,US,FT
Business Intelligence Lead,EN,187415,US,FT
Business Intelligence Lead,EN,114080,US,FT
Data Engineer,SE,277000,US,FT
Data Engineer,SE,173000,US,FT
Data Engineer,MI,175000,US,FT
Data Engineer,MI,117000,US,FT
Data Architect,SE,193000,US,FT
Data Architect,SE,84600,US,FT
AI Engineer,SE,220000,US,FT
AI Engineer,SE,96600,US,FT
Data Analyst,SE,170000,US,FT
Data Analyst,SE,130000,US,FT
Data Scientist,MI,172000,US,FT
Data Scientist,MI,75600,US,FT
Machine Learning Scientist,SE,201000,US,FT
Machine Learning Scientist,SE,125500,US,FT
Business Intelligence Analyst,SE,187000,US,FT
Business Intelligence Analyst,SE,117000,US,FT
Data Analyst,EN,61700,US,FT
Data Analyst,EN,55000,US,FT
Data Engineer,MI,56250,GB,FT
Data Engineer,MI,43750,GB,FT
Data Science,SE,292300,CA,FT
Data Science,SE,149700,CA,FT
Business Intelligence Engineer,SE,165600,US,FT
Business Intelligence Engineer,SE,65800,US,FT
Data Engineer,MI,148000,US,FT
Data Engineer,MI,118000,US,FT
Data Scientist,SE,62500,GB,FT
Data Scientist,SE,62500,GB,FT
ML Engineer,MI,252000,US,FT
ML Engineer,MI,168000,US,FT
Data Engineer,SE,149076,US,FT
Data Engineer,SE,82365,US,FT
Data Engineer,SE,160000,US,FT
Data Engineer,SE,120000,US,FT
Data Engineer,SE,160000,US,FT
Data Engineer,SE,115000,US,FT
Data Engineer,MI,193000,US,FT
Data Engineer,MI,128000,US,FT
ML Engineer,SE,220000,US,FT
ML Engineer,SE,170000,US,FT
Machine Learning Engineer,SE,189000,US,FT
Machine Learning Engineer,SE,136000,US,FT
Business Intelligence Engineer,MI,185000,US,FT
Business Intelligence Engineer,MI,79600,US,FT
Applied Scientist,MI,210000,US,FT
Applied Scientist,MI,160000,US,FT
Data Science,EX,200000,US,FT
Data Science,EX,160000,US,FT
Machine Learning Engineer,SE,150000,US,FT
Machine Learning Engineer,SE,90000,US,FT
Machine Learning Engineer,MI,208200,US,FT
Machine Learning Engineer,MI,124900,US,FT
Data Engineer,SE,150000,US,FT
Data Engineer,SE,130000,US,FT
Machine Learning Engineer,SE,189000,US,FT
Machine Learning Engineer,SE,160000,US,FT
Data Engineer,SE,255475,US,FT
Data Engineer,SE,185800,US,FT
Data Engineer,SE,220000,US,FT
Data Engineer,SE,170000,US,FT
Machine Learning Engineer,SE,220000,US,FT
Machine Learning Engineer,SE,170000,US,FT
Data Analyst,SE,113800,US,FT
Data Analyst,SE,74400,US,FT
Machine Learning Engineer,SE,260000,US,FT
Data Scientist,MI,180000,US,FT
Data Scientist,MI,140000,US,FT
Business Intelligence Engineer,SE,108500,US,FT
Business Intelligence Engineer,SE,78800,US,FT
Machine Learning Engineer,SE,252000,US,FT
Machine Learning Engineer,SE,181000,US,FT
Data Scientist,SE,301126,US,FT
Data Scientist,SE,210788,US,FT
Data Analyst,EN,20000,KE,FT
Data Analyst,SE,147500,US,FT
Data Analyst,SE,85000,US,FT
Data Architect,SE,175000,US,FT
Data Architect,SE,117000,US,FT
Data Analyst,EN,102927,AU,FT
Data Analyst,EN,95010,AU,FT
Business Intelligence Analyst,EN,157400,US,FT
Business Intelligence Analyst,EN,98600,US,FT
Data Analyst,EN,83000,US,FT
Data Analyst,EN,64000,US,FT
Data Engineer,SE,200000,US,FT
Data Engineer,SE,90000,US,FT
ML Engineer,SE,250000,US,FT
ML Engineer,SE,190000,US,FT
ML Engineer,SE,258750,US,FT
ML Engineer,SE,191250,US,FT
ML Engineer,EN,177100,US,FT
ML Engineer,EN,130900,US,FT
Data Analyst,EN,99200,US,FT
Data Analyst,EN,69400,US,FT
Encounter Data Management Professional,MI,79500,US,FT
Encounter Data Management Professional,MI,57700,US,FT
Data Engineer,SE,179000,US,FT
Data Engineer,SE,112000,US,FT
Machine Learning Engineer,SE,206000,US,FT
Machine Learning Engineer,SE,97335,US,FT
Machine Learning Engineer,MI,223900,US,FT
Machine Learning Engineer,MI,140100,US,FT
Data Architect,SE,93750,GB,FT
Data Architect,SE,81250,GB,FT
Data Manager,SE,144300,US,FT
Data Manager,SE,104800,US,FT
Business Intelligence,MI,168000,US,FT
Business Intelligence,MI,78400,US,FT
Data Analyst,SE,207300,US,FT
Data Analyst,SE,114700,US,FT
Data Scientist,SE,265000,US,FT
Data Scientist,SE,220000,US,FT
Business Intelligence Analyst,SE,120000,US,FT
Business Intelligence Analyst,SE,100000,US,FT
Machine Learning Engineer,SE,306000,US,FT
Machine Learning Engineer,SE,151600,US,FT
Data Science,EX,300000,US,FT
Data Science,EX,220000,US,FT
Data Scientist,SE,167500,US,FT
Data Scientist,SE,138500,US,FT
Data Scientist,MI,194000,US,FT
Data Scientist,MI,125500,US,FT
Analytics Engineer,SE,118750,GB,FT
Analytics Engineer,SE,75000,GB,FT
Data Engineer,SE,194500,US,FT
Data Engineer,SE,147368,US,FT
Data Engineer,MI,165000,US,FT
Data Engineer,MI,117000,US,FT
Data Analyst,SE,170000,US,FT
Data Analyst,SE,148000,US,FT
Data Manager,SE,160500,US,FT
Data Manager,SE,107000,US,FT
Analytics Engineer,SE,500000,US,FT
Analytics Engineer,SE,80000,US,FT
Data Infrastructure Engineer,MI,241000,US,FT
Data Infrastructure Engineer,MI,189000,US,FT
Data Scientist,SE,167500,US,FT
Data Scientist,SE,138500,US,FT
Research Scientist,SE,200000,US,FT
Research Scientist,SE,148500,US,FT
Research Engineer,SE,273000,US,FT
Research Engineer,SE,166500,US,FT
Data Analyst,SE,106260,US,FT
Data Analyst,SE,82000,US,FT
Business Intelligence Analyst,MI,115000,US,FT
Business Intelligence Analyst,MI,100000,US,FT
Data Scientist,MI,105000,US,FT
Data Scientist,MI,90000,US,FT
Data Scientist,SE,170000,US,FT
Data Scientist,SE,140000,US,FT
Data Scientist,MI,170000,US,FT
Data Scientist,MI,145000,US,FT
Data Engineer,SE,233000,US,FT
Data Engineer,SE,140000,US,FT
Data Analyst,SE,202800,US,FT
Data Analyst,SE,108200,US,FT
Head of Data,EX,190000,US,FT
Head of Data,EX,150000,US,FT
Data Scientist,SE,214872,US,FT
Data Scientist,SE,186846,US,FT
Data Scientist,EN,43750,GB,FT
Data Scientist,EN,37500,GB,FT
Data Engineer,SE,145360,US,FT
Data Engineer,SE,107440,US,FT
Applied Scientist,SE,212800,US,FT
Applied Scientist,SE,115100,US,FT
AI Software Engineer,SE,174000,US,FT
AI Software Engineer,SE,116000,US,FT
Data Engineer,MI,181700,US,FT
Data Engineer,MI,64300,US,FT
Data Analyst,EN,33500,GB,FT
Data Analyst,EN,33500,GB,FT
Data Engineer,MI,185000,US,FT
Data Engineer,MI,81000,US,FT
Encounter Data Management Professional,SE,96200,US,FT
Encounter Data Management Professional,SE,69800,US,FT
Data Analyst,EN,77280,US,FT
Data Analyst,EN,58000,US,FT
Data Scientist,EN,33500,GB,FT
Data Scientist,EN,33500,GB,FT
Research Scientist,SE,178200,US,FT
Research Scientist,SE,74800,US,FT
Business Intelligence Analyst,EN,164500,US,FT
Business Intelligence Analyst,EN,67200,US,FT
Data Architect,SE,165000,US,FT
Data Architect,SE,117000,US,FT
Data Engineer,EN,185000,US,FT
Data Engineer,EN,81000,US,FT
Data Science,MI,287800,US,FT
Data Science,MI,287800,US,FT
Data Scientist,SE,150000,US,FT
Data Scientist,SE,110000,US,FT
Research Engineer,MI,250000,US,FT
Research Engineer,MI,200000,US,FT
Machine Learning Engineer,SE,200000,US,FT
Machine Learning Engineer,SE,160000,US,FT
Data Scientist,MI,172000,US,FT
Data Scientist,MI,75600,US,FT
Data Scientist,EN,291340,US,PT
Data Scientist,EN,194240,US,PT
Applied Scientist,MI,191070,US,FT
Applied Scientist,MI,135900,US,FT
BI Developer,MI,47500,GB,FT
BI Developer,MI,43750,GB,FT
Research Engineer,SE,282000,US,FT
Research Engineer,SE,171000,US,FT
Applied Scientist,SE,260000,US,FT
Applied Scientist,SE,136000,US,FT
Data Engineer,MI,152800,US,FT
Data Engineer,MI,149282,US,FT
Machine Learning Engineer,SE,264500,US,FT
Machine Learning Engineer,SE,165600,US,FT
Data Scientist,MI,228000,US,FT
Data Scientist,MI,134000,US,FT
Data Engineer,SE,86666,LV,FT
Data Engineer,SE,60000,LV,FT
Applied Scientist,SE,199500,US,FT
Applied Scientist,SE,97400,US,FT
Data Engineer,SE,155000,US,FT
Data Engineer,SE,139500,US,FT
Data Engineer,MI,140000,US,FT
Data Engineer,MI,100000,US,FT
Data Engineer,SE,205000,US,FT
Data Engineer,SE,155000,US,FT
Data Analyst,EN,110000,US,FT
Data Analyst,EN,90000,US,FT
Data Analyst,EN,83300,US,FT
Data Analyst,EN,47500,US,FT
Data Scientist,SE,208500,US,FT
Data Scientist,SE,174000,US,FT
Data Engineer,SE,170000,US,FT
Data Engineer,SE,130000,US,FT
Data Science Manager,MI,240000,US,FT
Data Science Manager,MI,180000,US,FT
Data Engineer,MI,90000,US,FT
Data Engineer,MI,70000,US,FT
Business Intelligence Analyst,SE,138000,US,FT
Business Intelligence Analyst,SE,110400,US,FT
Data Scientist,SE,239000,US,FT
Data Scientist,SE,159000,US,FT
Data Engineer,SE,145000,US,FT
Data Engineer,SE,115000,US,FT
Data Engineer,SE,185000,US,FT
Data Engineer,SE,160000,US,FT
Applied Scientist,MI,210000,US,FT
Applied Scientist,MI,160000,US,FT
Data Science,EN,128750,US,FT
Data Science,EN,61875,US,FT
Machine Learning Engineer,SE,240000,CA,FT
Machine Learning Engineer,SE,178000,CA,FT
Research Analyst,EN,91200,US,FT
Research Analyst,EN,58200,US,FT
Data Engineer,SE,122000,US,FT
Data Engineer,SE,94500,US,FT
Data Analyst,MI,152300,US,FT
Data Analyst,MI,76200,US,FT
Machine Learning Engineer,SE,336000,CA,FT
Machine Learning Engineer,SE,304000,CA,FT
Data Analyst,MI,70000,US,FT
Data Analyst,MI,51000,US,FT
Machine Learning Engineer,SE,223000,US,FT
Machine Learning Engineer,SE,185000,US,FT
Data Engineer,MI,155000,US,FT
Data Engineer,MI,120000,US,FT
Data Infrastructure Engineer,SE,245900,US,FT
Data Infrastructure Engineer,SE,139000,US,FT
Admin & Data Analyst,MI,95000,US,FT
Data Scientist,SE,213000,US,FT
Data Scientist,SE,120700,US,FT
Data Engineer,MI,128000,US,FT
Data Engineer,MI,81500,US,FT
Data Science,EN,46000,US,FT
Data Science,EN,40000,US,FT
Insight Analyst,SE,75000,US,FT
Insight Analyst,SE,68750,US,FT
Business Intelligence,EN,176627,US,FT
Business Intelligence,EN,106029,US,FT
Data Architect,SE,193000,US,FT
Data Architect,SE,84600,US,FT
Business Intelligence,EN,94250,US,FT
Business Intelligence,EN,65000,US,FT
Data Analyst,MI,148017,US,FT
Data Analyst,MI,87069,US,FT
